"ESTU_TIPODOCUMENTO","ESTU_NACIONALIDAD","ESTU_GENERO","ESTU_MCPIO_RESIDE","COLE_AREA_UBICACION","COLE_NOMBRE_SEDE","DESEMP_LECTURA_CRITICA","DESEMP_MATEMATICAS","DESEMP_C_NATURALES","DESEMP_SOCIALES_CIUDADANAS","DESEMP_INGLES","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_C_NATURALES","PUNT_SOCIALES_CIUDADANAS","PUNT_INGLES","PUNT_GLOBAL","PERCENTIL_LECTURA_CRITICA","PERCENTIL_MATEMATICAS","PERCENTIL_C_NATURALES","PERCENTIL_SOCIALES_CIUDADANAS","PERCENTIL_INGLES","PERCENTIL_GLOBAL"
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",4,3,3,3,"B+",70,64,63,69,81,338,84,64,69,84,85,76
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",3,4,3,3,"B1",56,72,68,65,74,330,42,85,80,72,69,71
"CC","COLOMBIA","M","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",4,3,3,3,"A2",71,70,61,70,67,340,86,79,62,84,59,77
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",4,3,3,4,"A2",70,67,65,71,66,340,81,72,74,87,57,77
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",4,3,3,3,"B1",67,68,67,62,70,332,73,75,77,66,63,72
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",4,3,3,3,"B+",72,60,61,68,79,332,87,56,62,80,79,72
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",2,2,2,1,"A2",47,50,48,36,67,235,21,34,34,14,59,29
"CC","COLOMBIA","M","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",3,3,3,3,"B1",62,66,60,62,75,317,58,70,60,66,72,65
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",3,3,2,2,"A2",56,52,52,47,62,263,42,38,42,36,53,41
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",3,2,2,2,"A1",54,41,41,54,52,239,36,17,21,48,38,31
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",3,3,3,2,"A2",59,57,56,50,67,282,50,49,52,41,59,49
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",3,2,2,2,"A2",53,48,47,52,63,255,36,30,33,44,54,38
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",3,2,2,2,"A2",57,40,54,51,66,258,45,15,46,42,58,39
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",3,3,3,2,"A2",58,58,59,53,66,288,48,51,57,47,59,52
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",4,4,3,4,"B1",77,71,66,71,75,358,97,83,75,87,72,87
"CC","COLOMBIA","M","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",3,3,3,3,"B+",64,68,69,63,79,335,65,76,85,69,80,74
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",3,3,3,3,"A2",58,55,59,58,62,289,49,44,58,57,52,52
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",4,3,3,3,"B+",66,57,59,59,84,310,72,50,59,58,91,62
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",2,3,2,3,"B1",47,53,48,56,70,262,21,41,34,52,64,41
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",3,3,3,3,"A2",59,58,65,59,65,303,51,50,72,58,56,58
"CC","COLOMBIA","F","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",2,3,2,1,"A-",46,54,43,36,32,219,20,41,24,14,7,22
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",4,3,3,3,"B1",68,68,69,63,73,337,78,75,85,68,68,76
"CC","COLOMBIA","F","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",3,2,2,2,"B1",52,42,46,45,73,242,31,19,30,32,68,32
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",3,2,2,3,"B1",62,46,52,57,69,277,60,26,43,55,62,47
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",3,2,2,2,"B1",61,47,54,54,75,278,57,27,46,49,71,47
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",4,3,3,4,"A2",81,68,65,73,62,355,100,75,74,91,53,85
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",3,3,2,2,"A1",51,63,47,54,57,270,30,62,32,49,45,44
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BILINGUE MONTESSORI",4,3,3,3,"A2",66,65,60,61,62,315,70,66,60,63,53,64
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO TECNICO NUEVO SALOMIA",3,2,2,2,"A-",51,42,45,45,42,227,31,18,29,32,20,26
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO TECNICO NUEVO SALOMIA",3,3,3,2,"A1",53,54,57,41,54,257,34,42,52,24,41,39
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO TECNICO NUEVO SALOMIA",3,2,2,1,"A2",54,42,49,39,62,236,37,18,38,20,52,30
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO TECNICO NUEVO SALOMIA",3,3,2,2,"A2",55,56,49,45,61,260,40,46,37,32,51,40
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO TECNICO NUEVO SALOMIA",3,3,3,3,"B1",61,60,60,61,75,308,56,55,60,64,71,61
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO TECNICO NUEVO SALOMIA",2,2,1,2,"A-",50,36,40,45,46,215,27,10,18,32,27,21
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO TECNICO NUEVO SALOMIA",2,2,2,1,"A-",50,48,46,36,40,223,27,29,30,13,16,24
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO TECNICO NUEVO SALOMIA",2,3,2,2,"A-",49,56,48,53,46,255,27,47,34,47,27,38
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO TECNICO NUEVO SALOMIA",3,2,2,1,"A-",51,47,47,40,36,227,29,28,33,22,11,26
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO TECNICO NUEVO SALOMIA",2,2,1,2,"A1",47,41,39,41,55,215,21,18,16,24,42,21
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO TECNICO NUEVO SALOMIA",2,2,1,1,"A-",39,36,39,33,44,187,8,9,16,8,24,9
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO TECNICO NUEVO SALOMIA",2,2,2,1,"A1",36,48,48,33,54,211,4,29,35,9,40,19
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO TECNICO NUEVO SALOMIA",3,3,3,2,"A2",62,57,57,54,62,289,58,48,53,49,53,52
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO TECNICO NUEVO SALOMIA",3,3,3,3,"B1",64,61,57,62,74,310,65,57,53,65,69,61
"TI","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",3,2,2,2,"A1",52,45,49,44,52,239,31,25,36,30,37,31
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,1,2,1,"A-",36,34,43,30,24,174,4,7,25,4,1,5
"CC","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",3,1,1,2,"A-",55,29,33,44,43,202,40,3,5,30,21,15
"TI","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",1,1,1,1,"A-",32,35,32,35,34,168,2,9,4,11,8,4
"TI","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,2,2,2,"A1",49,49,45,49,50,241,25,31,29,39,34,32
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,1,1,1,"A-",42,35,35,31,47,183,13,9,8,6,29,8
"CC","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",1,1,1,1,"A-",24,32,24,34,31,143,1,6,1,10,5,1
"CC","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,1,1,1,"A-",36,26,28,35,26,154,4,2,2,12,2,2
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,1,1,1,"A-",45,28,37,37,38,184,18,3,11,16,13,8
"CC","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",1,1,1,1,"A-",28,29,38,35,35,163,1,3,13,12,10,3
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",3,2,2,2,"A-",57,50,45,53,29,248,44,33,28,46,4,35
"TI","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,2,2,1,"A-",42,48,43,33,44,208,12,31,24,8,24,18
"CC","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",3,1,1,2,"A-",56,34,29,44,33,201,41,7,2,30,8,15
"CC","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,2,1,1,"A-",47,38,36,34,29,190,21,13,11,10,4,11
"TI","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,1,1,1,"A1",36,33,39,38,48,187,4,7,16,17,30,9
"TI","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",3,2,2,2,"A1",59,50,50,51,50,262,51,33,39,43,35,40
"CC","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",1,1,1,2,"A-",25,31,34,46,31,169,1,5,6,33,6,4
"CC","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,2,1,1,"A-",37,36,37,38,33,183,6,10,12,17,8,8
"CC","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,3,1,1,"A-",48,52,35,31,29,203,23,39,8,5,4,15
"CC","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",3,2,2,1,"A-",51,44,44,40,45,224,30,22,27,21,25,25
"TI","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",1,2,1,1,"A-",34,45,29,32,41,177,3,24,2,6,19,6
"CC","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,1,1,1,"A-",38,32,34,32,34,170,7,5,6,7,8,4
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",3,3,2,2,"A-",52,52,48,45,40,243,32,37,34,31,17,33
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,1,1,1,"A-",36,29,38,35,27,170,5,4,14,12,3,4
"TI","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,3,2,1,"A-",43,51,52,38,36,226,14,36,43,18,11,25
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,1,2,1,"A-",38,28,41,33,31,173,7,3,21,9,6,5
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",3,3,2,2,"A-",51,58,48,50,34,252,29,50,35,41,9,36
"CC","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",3,3,3,3,"A1",59,57,61,58,50,290,50,49,62,57,34,53
"CC","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,2,1,1,"A-",40,39,37,29,30,179,9,14,12,4,5,7
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,2,1,1,"A-",41,37,31,32,25,172,11,11,3,7,2,5
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,1,1,2,"A-",49,31,37,45,31,199,25,5,11,32,5,14
"TI","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,1,2,2,"B1",50,30,42,41,68,214,27,4,22,23,60,20
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,2,2,2,"A-",41,39,47,47,31,213,11,14,32,35,5,20
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,1,1,1,"A-",38,23,35,30,30,157,7,1,9,4,5,2
"CC","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",3,2,2,3,"A-",55,46,42,57,46,248,39,25,22,54,27,35
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,1,1,2,"A-",41,28,39,42,47,191,11,3,16,25,29,11
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,2,1,2,"A-",50,39,33,42,37,203,29,13,5,26,12,16
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,1,2,2,"A-",42,18,41,50,32,187,12,1,21,40,7,9
"CC","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,2,1,2,"A-",47,48,37,50,47,228,22,30,12,41,29,26
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,2,2,2,"A-",50,38,43,54,35,227,28,12,25,49,10,26
"CC","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",1,2,1,1,"A-",34,38,30,37,30,172,3,13,2,16,5,5
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",1,1,1,1,"A-",30,35,39,35,34,173,1,9,15,11,9,5
"TI","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",1,2,2,1,"A-",34,36,45,36,24,183,3,10,28,14,1,8
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",1,2,1,1,"A2",31,38,38,30,62,182,2,13,14,5,53,8
"CC","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,1,2,1,"A-",39,33,41,29,24,173,9,6,19,3,1,5
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,1,1,1,"A-",42,22,34,31,35,162,12,1,7,6,9,3
"CC","COLOMBIA","M","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",3,2,2,2,"A-",57,44,43,42,34,228,44,23,26,25,9,26
"TI","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,2,1,1,"A-",43,37,39,35,44,195,13,11,17,11,24,12
"CC","COLOMBIA","F","CALI","URBANO","TERRA INSTITUTI - SEDE PRINCIPAL",2,1,1,1,"A-",37,25,32,39,30,165,5,2,4,19,5,3
"TI","COLOMBIA","M","CALI","URBANO","INSTITUCIÓN EDUCATIVA VIRTUAL ANDINOS - SEDE PRINCIPAL",3,2,2,3,"B1",63,50,53,60,69,287,63,34,45,61,62,51
"TI","COLOMBIA","F","CALI","URBANO","INSTITUCIÓN EDUCATIVA VIRTUAL ANDINOS - SEDE PRINCIPAL",4,4,3,3,"B+",76,73,64,69,82,357,95,87,71,83,86,86
"CR","COLOMBIA","M","CALI","URBANO","INSTITUCIÓN EDUCATIVA VIRTUAL ANDINOS - SEDE PRINCIPAL",3,3,3,2,"B+",63,66,67,53,83,319,63,68,77,46,89,66
"TI","ARUBA","M","CALI","URBANO","INSTITUCIÓN EDUCATIVA VIRTUAL ANDINOS - SEDE PRINCIPAL",2,2,2,1,"B1",47,43,45,36,69,224,21,20,29,14,61,25
"TI","COLOMBIA","M","CALI","URBANO","INSTITUCIÓN EDUCATIVA VIRTUAL ANDINOS - SEDE PRINCIPAL",2,2,2,2,"A2",46,45,44,43,60,228,20,24,26,26,50,26
"CC","COLOMBIA","M","CALI","URBANO","INSTITUCIÓN EDUCATIVA VIRTUAL ANDINOS - SEDE PRINCIPAL",1,1,1,1,"A-",32,34,36,34,38,172,2,8,9,10,13,5
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO SAN JOSÉ - SEDE PRINCIPAL",4,3,3,4,"B1",69,65,69,71,71,343,79,67,85,86,65,79
"TI","COLOMBIA","F","CALI","URBANO","LICEO CAMPESTRE INGLES DEL SUR - SEDE PRINCIPAL",4,3,3,2,"B1",66,61,59,55,74,307,71,58,59,50,69,60
"TI","COLOMBIA","F","CALI","URBANO","LICEO CAMPESTRE INGLES DEL SUR - SEDE PRINCIPAL",3,4,3,3,"B1",63,71,63,57,73,321,61,81,68,55,67,67
"TI","COLOMBIA","M","CALI","URBANO","LICEO CAMPESTRE INGLES DEL SUR - SEDE PRINCIPAL",4,3,3,3,"B1",77,67,68,65,72,347,97,72,81,72,66,81
"TI","COLOMBIA","F","CALI","URBANO","COL. TEC. COMERCIAL SANTA MARIA GORETTY",3,3,2,2,"A1",59,57,54,49,54,273,52,50,47,39,41,45
"TI","COLOMBIA","F","CALI","URBANO","COL. TEC. COMERCIAL SANTA MARIA GORETTY",2,3,2,1,"A1",42,51,44,35,55,220,12,35,26,12,42,23
"TI","COLOMBIA","F","CALI","URBANO","COL. TEC. COMERCIAL SANTA MARIA GORETTY",3,3,2,2,"A-",59,54,45,50,47,258,50,43,28,41,29,39
"TI","COLOMBIA","M","CALI","URBANO","COL. TEC. COMERCIAL SANTA MARIA GORETTY",4,4,3,3,"A1",69,71,60,56,57,317,80,83,60,52,44,65
"TI","COLOMBIA","M","CALI","URBANO","COL. TEC. COMERCIAL SANTA MARIA GORETTY",3,3,2,2,"A2",53,52,44,47,60,249,36,38,27,36,50,35
"TI","COLOMBIA","F","CALI","URBANO","COL. TEC. COMERCIAL SANTA MARIA GORETTY",3,3,3,3,"A1",55,56,59,56,57,283,40,47,59,52,46,49
"TI","COLOMBIA","F","CALI","URBANO","COL. TEC. COMERCIAL SANTA MARIA GORETTY",3,3,2,2,"A1",60,62,53,47,50,275,53,61,44,36,35,46
"TI","COLOMBIA","F","CALI","URBANO","COL. TEC. COMERCIAL SANTA MARIA GORETTY",2,2,2,1,"A2",41,50,50,40,61,232,11,34,39,22,52,28
"TI","COLOMBIA","F","CALI","URBANO","COL. TEC. COMERCIAL SANTA MARIA GORETTY",1,1,2,1,"A-",32,35,48,32,45,187,2,9,35,7,26,9
"TI","COLOMBIA","M","CALI","URBANO","COL. TEC. COMERCIAL SANTA MARIA GORETTY",3,3,3,2,"A2",63,63,59,53,63,299,64,63,58,47,54,56
"TI","COLOMBIA","M","CALI","URBANO","COL. TEC. COMERCIAL SANTA MARIA GORETTY",3,3,3,3,"B1",64,62,64,59,76,317,64,60,71,58,74,65
"TI","COLOMBIA","F","CALI","URBANO","COL. TEC. COMERCIAL SANTA MARIA GORETTY",3,2,2,2,"A2",65,45,50,52,61,268,68,24,38,45,51,43
"TI","COLOMBIA","M","CALI","URBANO","COL. TEC. COMERCIAL SANTA MARIA GORETTY",2,3,2,1,"A-",48,57,50,36,45,238,24,48,39,13,26,30
"TI","COLOMBIA","M","CALI","URBANO","COL. TEC. COMERCIAL SANTA MARIA GORETTY",3,3,3,3,"B1",65,65,57,60,73,313,68,66,53,60,67,63
"TI","COLOMBIA","F","CALI","URBANO","COL. TEC. COMERCIAL SANTA MARIA GORETTY",2,2,2,1,"A-",44,40,41,33,47,200,16,15,21,7,28,14
"CC","COLOMBIA","M","CALI","URBANO","INSTITUTO IPANA",2,2,2,1,"A-",41,47,41,39,28,205,12,27,21,19,4,16
"CC","COLOMBIA","F","CALI","URBANO","INSTITUTO IPANA",3,3,2,3,"A-",55,56,47,56,40,262,40,45,32,53,17,41
"CC","COLOMBIA","M","CALI","URBANO","INSTITUTO IPANA",3,3,2,2,"B1",58,57,49,46,69,269,49,49,38,34,62,43
"CC","COLOMBIA","F","CALI","URBANO","COL MIGUEL ANGEL BUONARROTI",3,3,1,3,"A-",58,52,40,56,44,255,48,38,17,53,24,37
"TI","COLOMBIA","F","CALI","URBANO","COL MIGUEL ANGEL BUONARROTI",2,1,1,1,"A-",37,29,33,35,29,166,6,4,5,12,4,3
"CC","COLOMBIA","M","CALI","URBANO","COL MIGUEL ANGEL BUONARROTI",4,3,3,3,"A2",72,57,58,66,65,317,88,48,54,76,56,65
"CC","COLOMBIA","F","CALI","URBANO","COL MIGUEL ANGEL BUONARROTI",2,2,1,2,"A1",45,39,38,42,51,209,18,14,14,25,35,18
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,3,3,4,"B+",71,69,70,71,85,357,85,76,87,86,93,86
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,4,4,4,"B+",80,78,71,82,83,391,99,94,89,100,90,98
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,4,4,3,"B1",68,73,71,67,76,351,76,86,88,77,73,83
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",3,3,3,3,"B1",63,55,65,64,76,314,63,45,72,71,73,64
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,3,3,4,"B1",66,62,62,72,76,332,71,60,65,88,74,72
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,4,4,3,"B+",78,72,71,66,84,363,97,85,88,76,92,89
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,4,4,4,"B1",68,74,77,79,77,373,78,88,98,99,76,94
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",3,3,3,3,"B1",64,63,62,68,74,325,65,63,65,81,69,69
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,3,3,4,"B1",66,62,66,71,76,335,72,60,77,87,74,74
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",3,3,3,2,"B1",58,67,59,54,76,304,48,72,58,48,73,59
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",3,3,4,4,"B1",59,70,71,71,75,342,52,80,88,87,72,78
"CR","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",3,3,3,2,"B1",59,60,62,47,71,290,50,55,65,35,65,53
"TI","ESTADOS UNIDOS","M","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",3,3,3,3,"B1",56,61,58,64,77,305,41,59,55,72,76,59
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,3,3,3,"B+",73,68,66,66,81,346,89,74,76,74,85,80
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",3,3,3,3,"B1",55,61,58,68,76,308,39,57,56,81,74,61
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,4,4,4,"B+",79,100,100,75,91,443,99,100,100,95,99,100
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,4,4,4,"B+",73,83,72,72,80,377,91,99,91,89,82,95
"CC","COLOMBIA","M","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,3,3,3,"B1",66,66,65,66,77,333,72,69,74,75,74,73
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",3,4,4,3,"B+",64,76,79,67,90,365,65,91,100,78,99,90
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,4,4,4,"B+",75,76,80,80,80,390,94,92,100,99,83,98
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,4,4,4,"B+",100,82,100,77,88,448,100,98,100,96,97,100
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,4,4,4,"B+",72,79,72,73,86,375,87,96,90,91,95,94
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,4,3,4,"B1",73,75,68,72,78,362,90,90,82,90,77,89
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",3,3,3,3,"B1",62,55,67,69,76,321,61,45,78,83,73,67
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",3,3,3,4,"B1",60,68,70,100,76,373,55,74,85,100,73,93
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,3,3,3,"B1",72,68,65,68,75,344,88,74,74,80,71,79
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,3,3,4,"B+",77,67,68,76,79,363,97,72,81,96,79,89
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,3,4,4,"B+",81,70,76,75,86,382,100,80,97,94,96,96
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",3,3,3,3,"B+",61,63,65,61,82,320,56,62,72,64,86,66
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,4,3,4,"B+",67,72,69,77,82,360,75,84,83,97,86,88
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,4,4,4,"B+",79,75,72,100,91,411,99,90,90,100,99,100
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,4,4,4,"B+",80,84,76,100,86,425,99,99,96,100,95,100
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",4,4,4,4,"B+",75,76,73,71,87,374,93,92,92,88,97,94
"CC","COLOMBIA","M","CALI","URBANO","COLEGIO TECNICO JUVENIL DEL SUR",3,3,3,3,"A1",54,64,59,58,56,293,37,64,59,56,43,54
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO TECNICO JUVENIL DEL SUR",3,2,2,3,"A-",55,50,48,62,45,265,41,33,35,65,25,42
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO TECNICO JUVENIL DEL SUR",3,2,1,2,"A1",58,50,37,41,53,235,47,34,11,23,38,29
"CC","COLOMBIA","M","CALI","URBANO","COLEGIO TECNICO JUVENIL DEL SUR",2,1,1,1,"A-",41,27,30,33,27,162,11,3,3,8,3,2
